iter	Passed	Remaining
779	21961	6194
780	21991	6166
781	22016	6137
782	22036	6107
783	22057	6077
784	22080	6047
785	22100	6017
786	22125	5988
787	22147	5958
788	22168	5928
789	22189	5898
790	22209	5868
791	22230	5838
792	22253	5808
793	22274	5779
794	22299	5750
795	22324	5721
796	22345	5691
797	22365	5661
798	22388	5632
799	22407	5601
800	22427	5571
801	22448	5542
802	22471	5512
803	22491	5482
804	22512	5453
805	22538	5424
806	22556	5394
807	22577	5364
808	22598	5335
809	22618	5305
810	22640	5276
811	22660	5246
812	22679	5216
813	22702	5187
814	22723	5158
815	22753	5130
816	22771	5100
817	22792	5071
818	22825	5044
819	22846	5015
820	22864	4985
821	22885	4955
822	22904	4925
823	22922	4896
824	22941	4866
825	22965	4837
826	22986	4808
827	23009	4779
828	23029	4750
829	23051	4721
830	23070	4691
831	23094	4663
832	23116	4634
833	23134	4604
834	23155	4575
835	23178	4547
836	23201	4518
837	23220	4488
838	23241	4459
839	23263	4431
840	23285	4402
841	23306	4373
842	23324	4343
843	23345	4315
844	23370	4286
845	23390	4257
846	23415	4229
847	23435	4200
848	23455	4171
849	23475	4142
850	23497	4114
851	23519	4085
852	23538	4056
853	23558	4027
854	23583	3999
855	23605	3971
856	23626	3942
857	23646	3913
858	23665	3884
859	23692	3856
860	23711	3827
861	23732	3799
862	23752	3770
863	23776	3742
864	23808	3715
865	23829	3687
866	23850	3658
867	23871	3630
868	23891	3601
869	23911	3572
870	23931	3544
871	23956	3516
872	23978	3488
873	23998	3459
874	24020	3431
875	24043	3403
876	24067	3375
877	24086	3346
878	24108	3318
879	24127	3290
880	24149	3261
881	24172	3233
882	24191	3205
883	24220	3178
884	24243	3150
885	24262	3121
886	24282	3093
887	24301	3065
888	24323	3037
889	24341	3008
890	24365	2980
891	24384	2952
892	24405	2924
893	24431	2896
894	24452	2868
895	24473	2840
896	24493	2812
897	24515	2784
898	24534	2756
899	24554	2728
900	24572	2700
901	24596	2672
902	24615	2644
903	24640	2616
904	24662	2588
905	24682	2560
906	24702	2532
907	24724	2505
908	24742	2476
909	24764	2449
910	24789	2421
911	24810	2393
912	24829	2366
913	24849	2338
914	24870	2310
915	24890	2282
916	24910	2254
917	24931	2227
918	24949	2199
919	24968	2171
920	24992	2143
921	25017	2116
922	25040	2088
923	25062	2061
924	25082	2033
925	25100	2005
926	25120	1978
927	25142	1950
928	25165	1923
929	25190	1896
930	25214	1868
931	25237	1841
932	25258	1813
933	25278	1786
934	25298	1758
935	25318	1731
936	25339	1703
937	25359	1676
938	25383	1648
939	25402	1621
940	25422	1593
941	25446	1566
942	25471	1539
943	25492	1512
944	25513	1484
945	25535	1457
946	25557	1430
947	25577	1402
948	25599	1375
949	25621	1348
950	25646	1321
951	25666	1294
952	25689	1266
953	25708	1239
954	25728	1212
955	25755	1185
956	25782	1158
957	25807	1131
958	25826	1104
959	25854	1077
960	25876	1050
961	25895	1022
962	25918	995
963	25936	968
964	25958	941
965	25979	914
966	26000	887
967	26027	860
968	26046	833
969	26069	806
970	26091	779
971	26112	752
972	26130	725
973	26151	698
974	26173	671
975	26196	644
976	26216	617
977	26236	590
978	26258	563
979	26278	536
980	26299	509
981	26318	482
982	26341	455
983	26366	428
984	26387	401
985	26407	374
986	26426	348
987	26457	321
988	26477	294
989	26498	267
990	26519	240
991	26540	214
992	26560	187
993	26580	160
994	26603	133
995	26622	106
996	26642	80
997	26668	53
998	26686	26
999	26706	0
